id,created_at,market_title,side,poly_price,valor_usd,tier,display_name,outcome,resolved_at,result,pnl_teorico,signal_id,action,confidence,win_rate_hist,expected_roi,edge_pct,is_nicho,detected_at,condition_id,market_slug
1,2026-02-26 16:44:26.093583+00,Lakers vs. Suns,BUY,0.66,3863.574,💀 HIGH RISK,Herdonia,Lakers,,LOSS,,S2B,FOLLOW,LOW,69.6,5.8,0.0,False,2026-02-26 11:44:23.260829+00,,
2,2026-02-26 17:19:37.722357+00,Pelicans vs. Jazz,BUY,0.66,17522.1024,💀 HIGH RISK,0x24357454d8d1a0cc93a6c25fd490467372bc2454,Pelicans,,WIN,,S2B,FOLLOW,LOW,69.6,5.8,0.0,True,2026-02-26 12:19:34.880208+00,,
3,2026-02-26 17:29:43.16862+00,"Bitcoin Up or Down - February 26, 4PM ET",BUY,0.5,12757.5,💀 HIGH RISK,ddeeddd,Up,2026-03-02 00:31:14.551637,WIN,100.0,S4,COUNTER,MEDIUM,65.0,30.0,0.0,False,2026-02-26 12:29:40.032362+00,,
4,2026-02-26 18:25:03.665412+00,Spread: Hawks (-10.5),BUY,0.530159923002506,4815.419999,💀 HIGH RISK,JonesWyatt,Wizards,,LOSS,,S2,FOLLOW,MEDIUM,72.0,36.1,0.0,False,2026-02-26 13:25:01.038197+00,,
5,2026-02-26 18:45:12.209734+00,Spurs vs. Nets: O/U 223.5,BUY,0.52898845585665,6022.9885,💀 HIGH RISK,0x492442EaB586F242B53bDa933fD5dE859c8A3782-1766317541188,Over,2026-03-02 00:31:23.403287,WIN,89.0400421651146,S2,FOLLOW,MEDIUM,72.0,36.1,0.0,False,2026-02-26 13:45:09.819442+00,,
6,2026-02-26 19:15:20.314023+00,Will Nottingham Forest FC win on 2026-02-26?,BUY,0.61,3499.57,💀 HIGH RISK,mortewfenloin,Yes,,LOSS,,S5,FOLLOW,MEDIUM,75.9,24.5,0.0,False,2026-02-26 14:15:17.30852+00,,
7,2026-02-26 19:40:30.956875+00,Will Nottingham Forest FC win on 2026-02-26?,SELL,0.61,6100.0,💀 HIGH RISK,VeryLucky888,Yes,2026-03-02 00:31:29.438085,LOSS,-100.0,S5,FOLLOW,MEDIUM,75.9,24.5,0.0,False,2026-02-26 14:40:28.478887+00,,
8,2026-02-26 19:40:33.6187+00,Will Nottingham Forest FC win on 2026-02-26?,BUY,0.62,93000.0,💀 HIGH RISK,pinkblanket,Yes,,LOSS,,S5,FOLLOW,MEDIUM,75.9,22.2,0.0,True,2026-02-26 14:40:32.697849+00,,
9,2026-02-26 19:40:36.962933+00,Will Nottingham Forest FC win on 2026-02-26?,BUY,0.62,62000.0,💀 HIGH RISK,pinkblanket,Yes,,LOSS,,S5,FOLLOW,MEDIUM,75.9,22.2,0.0,True,2026-02-26 14:40:35.939597+00,,
10,2026-02-26 19:40:39.127676+00,Will Nottingham Forest FC win on 2026-02-26?,SELL,0.61,6100.0,💀 HIGH RISK,VeryLucky888,Yes,2026-03-02 00:31:29.438085,LOSS,-100.0,S5,FOLLOW,MEDIUM,75.9,24.5,0.0,False,2026-02-26 14:40:38.062642+00,,
11,2026-02-26 19:45:29.148045+00,Will Nottingham Forest FC win on 2026-02-26?,BUY,0.37,3499.83,⚠️ RISKY,mortewfenloin,No,,WIN,,S1B,COUNTER,MEDIUM,75.0,102.5,0.0,False,2026-02-26 14:45:27.714738+00,,
12,2026-02-26 19:45:31.344977+00,Will Nottingham Forest FC win on 2026-02-26?,BUY,0.37,3700.0,💀 HIGH RISK,Weebay,No,,WIN,,S1B,COUNTER,MEDIUM,75.0,102.5,0.0,False,2026-02-26 14:45:30.729967+00,,
13,2026-02-26 19:50:32.599703+00,Will Nottingham Forest FC win on 2026-02-26?,SELL,0.36,3600.0,🥇 GOLD,VeryLucky888,No,,,,S1B,COUNTER,MEDIUM,75.0,108.5,0.0,False,2026-02-26 14:50:31.073437+00,,
14,2026-02-26 20:00:35.35074+00,Trail Blazers vs. Bulls,BUY,0.6099999999573,3999.999999,💀 HIGH RISK,Keenheart,Trail Blazers,,WIN,,S2B,FOLLOW,LOW,69.6,14.1,0.0,False,2026-02-26 15:00:33.30637+00,,
15,2026-02-26 20:15:38.390843+00,Trail Blazers vs. Bulls,BUY,0.61,5957.8212,💀 HIGH RISK,ElizabethCS,Trail Blazers,,WIN,,S2B,FOLLOW,LOW,69.6,14.1,0.0,False,2026-02-26 15:15:36.66521+00,,
16,2026-02-26 21:14:36.88441+00,"US strikes Iran by March 8, 2026?",BUY,0.719764146343094,4399.999999,💀 HIGH RISK,9d08bccb97b035cc5e03ae,No,2026-03-02 00:12:55.888791+00,LOSS,-100.0,S3,FOLLOW,LOW,56.5,-21.5,0.0,True,2026-02-26 16:14:34.914112+00,,
17,2026-02-26 22:20:03.570899+00,Heat vs. 76ers,SELL,0.58,3945.334,💀 HIGH RISK,invisbledddd,76ers,,,,S2,FOLLOW,MEDIUM,72.0,23.8,0.0,False,2026-02-26 17:20:02.31905+00,,
18,2026-02-26 22:45:13.770406+00,Spread: Hornets (-12.5),BUY,0.519999999986133,14999.999999,💀 HIGH RISK,0x8a3aB8120807bD64a3De48695110e390fa2ceB9a-1771005965025,Hornets,,WIN,,S2,FOLLOW,MEDIUM,72.0,38.2,0.0,False,2026-02-26 17:45:11.443435+00,,
19,2026-02-26 23:03:09.544864+00,Spread: Hawks (-10.5),BUY,0.50999999998266,4999.999999,💀 HIGH RISK,RogersTimothyh,Wizards,,LOSS,,S2,FOLLOW,MEDIUM,72.0,41.1,0.0,True,2026-02-26 18:03:07.532245+00,,
20,2026-02-26 23:17:05.531067+00,Rockets vs. Magic: O/U 215.5,BUY,0.511872644497967,8790.1637,💀 HIGH RISK,Gh0stTradez,Under,,WIN,,S2,FOLLOW,MEDIUM,72.0,40.4,0.0,False,2026-02-26 18:17:02.735685+00,,
21,2026-02-26 23:21:40.241339+00,Spread: Rockets (-2.5),BUY,0.509484764848554,29999.999999,📊 STANDARD,0x8a3aB8120807bD64a3De48695110e390fa2ceB9a-1771005965025,Rockets,,WIN,,S2,FOLLOW,MEDIUM,72.0,41.1,0.0,False,2026-02-26 18:21:39.665797+00,,
22,2026-02-26 23:26:42.601762+00,Rockets vs. Magic,BUY,0.569999999988094,3829.999999,💀 HIGH RISK,king101,Rockets,,WIN,,S2,FOLLOW,MEDIUM,72.0,26.0,0.0,False,2026-02-26 18:26:41.715433+00,,
23,2026-02-26 23:46:49.887755+00,Spread: Hornets (-12.5),BUY,0.5,3597.0,💀 HIGH RISK,jackmala,Hornets,,WIN,,S2,FOLLOW,MEDIUM,72.0,44.0,0.0,True,2026-02-26 18:46:47.477373+00,,
24,2026-02-26 23:46:51.267417+00,Spread: Hornets (-12.5),BUY,0.5,20000.0,💀 HIGH RISK,0x1B4d7cBD8DCe8A56Dd2c51E952cCCbF55F78e246-1759455462400,Hornets,,WIN,,S2,FOLLOW,MEDIUM,72.0,44.0,0.0,True,2026-02-26 18:46:49.897815+00,,
25,2026-02-26 23:46:52.430089+00,Spread: Hornets (-12.5),BUY,0.5,40000.0,💀 HIGH RISK,shan776,Hornets,,WIN,,S2+,FOLLOW,HIGH,78.1,44.0,0.0,True,2026-02-26 18:46:50.999755+00,,
26,2026-02-26 23:46:53.575804+00,Spread: Hornets (-12.5),BUY,0.5,1823.585,💀 HIGH RISK,Cannae,Hornets,,WIN,,S2+,FOLLOW,HIGH,78.1,0.0,0.0,True,2026-02-26 18:46:52.108474+00,,
27,2026-02-26 23:46:54.670768+00,Spread: Hornets (-12.5),BUY,0.5,3015.0,💀 HIGH RISK,citycityX,Hornets,,WIN,,S2+,FOLLOW,HIGH,78.1,44.0,0.0,True,2026-02-26 18:46:53.15748+00,,
28,2026-02-26 23:46:55.782412+00,Spread: Hornets (-12.5),BUY,0.5,2309.35,💀 HIGH RISK,Cannae,Hornets,,WIN,,S2+,FOLLOW,HIGH,78.1,0.0,0.0,True,2026-02-26 18:46:54.223823+00,,
29,2026-02-26 23:51:52.488893+00,Spread: Hornets (-12.5),SELL,0.49,3150.2737,🥇 GOLD,VeryLucky888,Hornets,,,,S2+,FOLLOW,HIGH,78.1,0.0,0.0,True,2026-02-26 18:51:50.821184+00,,
30,2026-02-26 23:56:52.131752+00,Lakers vs. Suns,BUY,0.66,3036.66,💀 HIGH RISK,elkmonkey,Lakers,,LOSS,,S2B,FOLLOW,LOW,69.6,5.8,0.0,False,2026-02-26 18:56:50.933483+00,,
31,2026-02-26 23:56:53.991515+00,Spread: 76ers (-2.5),BUY,0.53,3180.0,💀 HIGH RISK,banepir,Heat,,LOSS,,S2,FOLLOW,MEDIUM,72.0,36.1,0.0,False,2026-02-26 18:56:53.091715+00,,
32,2026-02-27 00:01:53.401411+00,Lightning vs. Hurricanes,BUY,0.44,28426.2968,💀 HIGH RISK,BWArmageddon,Lightning,2026-03-02 00:31:53.731898,LOSS,-100.0,S1+,COUNTER,HIGH,88.2,0.0,0.0,True,2026-02-26 19:01:52.059542+00,,
33,2026-02-27 00:01:54.62431+00,Islanders vs. Canadiens,BUY,0.57,5700.0,📊 STANDARD,ElizabethCS,Canadiens,,,,S3,FOLLOW,LOW,56.5,-1.1,0.0,True,2026-02-26 19:01:53.916125+00,,
34,2026-02-27 00:06:56.494942+00,Spread: 76ers (-2.5),BUY,0.52,3770.7592,💀 HIGH RISK,432614799197,Heat,2026-03-02 00:31:54.679775,LOSS,-100.0,S2,FOLLOW,MEDIUM,72.0,38.2,0.0,False,2026-02-26 19:06:55.082078+00,,
35,2026-02-27 00:06:57.661403+00,Heat vs. 76ers,BUY,0.559999999996987,22306.869999,💀 HIGH RISK,Bigboybandi,76ers,,,,S2,FOLLOW,MEDIUM,72.0,28.9,0.0,False,2026-02-26 19:06:56.775556+00,,
36,2026-02-27 00:22:05.685014+00,Nuggets vs. Thunder,BUY,0.74,3472.08,💀 HIGH RISK,0xF9885Da150836378ce5689395FF4d194683fd63B-1767719836281,Thunder,,,,S2B,FOLLOW,LOW,69.6,-6.0,0.0,False,2026-02-26 19:22:03.91108+00,,
37,2026-02-27 00:37:36.931223+00,Rockets vs. Magic,BUY,0.57,7147.8,🤖 BOT/MM,elkmonkey,Rockets,2026-03-02 00:31:45.968309,WIN,75.4385964948926,S2,FOLLOW,MEDIUM,72.0,26.0,0.0,False,2026-02-26 19:37:35.175782+00,,
38,2026-02-27 01:20:55.000526+00,Spread: Mavericks (-7.5),BUY,0.5,143058.8,💀 HIGH RISK,0x492442EaB586F242B53bDa933fD5dE859c8A3782-1766317541188,Kings,,,,S2,FOLLOW,MEDIUM,72.0,44.0,0.0,False,2026-02-26 20:20:53.607426+00,,
39,2026-02-27 01:25:56.73883+00,Spread: Mavericks (-7.5),BUY,0.5,5575.505,💀 HIGH RISK,0x492442EaB586F242B53bDa933fD5dE859c8A3782-1766317541188,Kings,,,,S2,FOLLOW,MEDIUM,72.0,44.0,0.0,False,2026-02-26 20:25:53.787588+00,,
